"","DOI","ISSN","ISBN","PubMed.ID","EID","Source"
"1","10.1016/j.biombioe.2012.12.019","09619534",NA,NA,"2-s2.0-84878243631","Scopus"
"2","10.1007/s00027-014-0377-0","10151621",NA,NA,"2-s2.0-84922074906","Scopus"
"3","10.1016/j.geoderma.2013.08.013","00167061",NA,NA,"2-s2.0-84883803268","Scopus"
"4","10.1016/j.rse.2012.10.022","00344257",NA,NA,"2-s2.0-84869231658","Scopus"
"5","10.1016/j.ecolind.2013.08.017","1470160X",NA,NA,"2-s2.0-84885097282","Scopus"
"6","10.1016/j.algal.2013.11.007","22119264",NA,NA,"2-s2.0-84899105862","Scopus"
"7","10.1016/j.ecolind.2012.10.014","1470160X",NA,NA,"2-s2.0-84870178896","Scopus"
"8","10.1111/j.1757-1707.2012.01199.x","17571693",NA,NA,"2-s2.0-84876189521","Scopus"
"9","10.1016/j.aquaculture.2015.01.010","00448486",NA,NA,"2-s2.0-84961381512","Scopus"
"10","10.1016/j.biombioe.2013.03.007","09619534",NA,NA,"2-s2.0-84878245245","Scopus"
"11","10.1016/j.marpol.2012.10.010","0308597X",NA,NA,"2-s2.0-84871494473","Scopus"
"12","10.1016/j.biombioe.2012.09.054","09619534",NA,NA,"2-s2.0-84879365118","Scopus"
"13","10.1111/gcbb.12067","17571693",NA,NA,"2-s2.0-84898404774","Scopus"
"14","10.1016/j.biombioe.2013.01.012","09619534",NA,NA,"2-s2.0-84877339276","Scopus"
"15","10.1371/journal.pone.0091957","19326203",NA,"24651514","2-s2.0-84907491076","Scopus"
"16","10.1016/j.agee.2013.06.002","01678809",NA,NA,"2-s2.0-84880374275","Scopus"
"17","10.1016/j.algal.2015.04.017","22119264",NA,NA,"2-s2.0-84937635367","Scopus"
"18","10.1016/j.biombioe.2013.02.003","09619534",NA,NA,"2-s2.0-84887023479","Scopus"
"19","10.1038/NPLANTS.2015.53","20550278",NA,NA,"2-s2.0-85020458852","Scopus"
"20","10.1016/j.biombioe.2014.02.034","09619534",NA,NA,"2-s2.0-84901586533","Scopus"
"21","10.1016/j.ecolind.2012.09.005","1470160X",NA,NA,"2-s2.0-84867042562","Scopus"
"22","10.1016/j.ecoser.2014.07.012","22120416",NA,NA,"2-s2.0-85028233610","Scopus"
"23","10.1016/j.biombioe.2013.02.002","09619534",NA,NA,"2-s2.0-84879414200","Scopus"
"24","10.1016/j.aquaculture.2014.10.038","00448486",NA,NA,"2-s2.0-84911087658","Scopus"
"25","10.1002/ldr.2220","10853278",NA,NA,"2-s2.0-84893738603","Scopus"
"26","10.1016/j.ecolind.2013.09.003","1470160X",NA,NA,"2-s2.0-84886841405","Scopus"
"27","10.1016/j.geoderma.2013.02.011","00167061",NA,NA,"2-s2.0-84875484070","Scopus"
"28","10.1016/j.landusepol.2012.09.011","02648377",NA,NA,"2-s2.0-84871774273","Scopus"
"29","10.1002/jpln.201300646","14368730",NA,NA,"2-s2.0-84897429828","Scopus"
"30","10.1016/j.foodres.2013.06.014","09639969",NA,NA,"2-s2.0-84889079515","Scopus"
"31","10.1016/j.biombioe.2013.07.002","09619534",NA,NA,"2-s2.0-84887018286","Scopus"
"32","10.1016/j.ecolind.2012.07.017","1470160X",NA,NA,"2-s2.0-84864825171","Scopus"
"33","10.1016/j.foodpol.2014.09.005","03069192",NA,NA,"2-s2.0-84908011312","Scopus"
"34","10.1371/journal.pone.0097922","19326203",NA,"24887494","2-s2.0-84902310632","Scopus"
"35","10.1111/gcbb.12032","17571693",NA,NA,"2-s2.0-84874335506","Scopus"
"36","10.1016/j.ecolind.2014.06.007","1470160X",NA,NA,"2-s2.0-84903848586","Scopus"
"37","10.1016/j.foreco.2013.06.062","03781127",NA,NA,"2-s2.0-84880973995","Scopus"
"38","10.1016/j.indcrop.2014.01.006","09266690",NA,NA,"2-s2.0-84893342042","Scopus"
"39","10.1007/s12155-013-9402-8","19391234",NA,NA,"2-s2.0-84899914389","Scopus"
"40","10.1016/j.ecolind.2013.09.015","1470160X",NA,NA,"2-s2.0-84886818926","Scopus"
"41","10.1038/nplants.2015.124","2055026X",NA,NA,"2-s2.0-84949281521","Scopus"
"42","10.1007/s12155-014-9532-7","19391234",NA,NA,"2-s2.0-84923250089","Scopus"
"43","10.1016/j.biombioe.2014.01.016","09619534",NA,NA,"2-s2.0-84896730330","Scopus"
"44","10.1111/gcbb.12043","17571693",NA,NA,"2-s2.0-84901935650","Scopus"
"45","10.1016/j.ecolind.2014.04.033","1470160X",NA,NA,"2-s2.0-84909966729","Scopus"
"46","10.1016/j.biombioe.2013.11.012","09619534",NA,NA,"2-s2.0-84891373821","Scopus"
"47","10.1016/j.anifeedsci.2012.11.005","03778401",NA,NA,"2-s2.0-84872848914","Scopus"
"48","10.1111/gcbb.12162","17571693",NA,NA,"2-s2.0-84931563528","Scopus"
"49","10.1016/j.biombioe.2013.01.030","09619534",NA,NA,"2-s2.0-84887022894","Scopus"
"50","10.1016/j.biombioe.2013.01.032","09619534",NA,NA,"2-s2.0-84879418106","Scopus"
"51","10.1016/j.ecolind.2013.06.001","1470160X",NA,NA,"2-s2.0-84879596150","Scopus"
"52","10.1016/j.ecolind.2013.05.017","1470160X",NA,NA,"2-s2.0-84879390587","Scopus"
"53","10.1525/bio.2013.63.4.6","00063568",NA,NA,"2-s2.0-84876562981","Scopus"
"54","10.1016/j.fcr.2013.02.009","03784290",NA,NA,"2-s2.0-84875584580","Scopus"
"55","10.1016/j.biombioe.2012.12.036","09619534",NA,NA,"2-s2.0-84873036911","Scopus"
"56","10.1016/j.ocecoaman.2015.02.005","09645691",NA,NA,"2-s2.0-84923675813","Scopus"
"57","10.1016/j.compag.2015.02.004","01681699",NA,NA,"2-s2.0-84924034757","Scopus"
"58","10.1016/j.algal.2013.12.006","22119264",NA,NA,"2-s2.0-84900310083","Scopus"
"59","10.1080/10549811.2013.839386","10549811",NA,NA,"2-s2.0-84897078469","Scopus"
"60","10.1016/j.agee.2013.04.010","01678809",NA,NA,"2-s2.0-84878130698","Scopus"
"61","10.1016/j.ecohyd.2013.12.001","16423593",NA,NA,"2-s2.0-84901636471","Scopus"
"62","10.1016/j.biombioe.2012.05.025","09619534",NA,NA,"2-s2.0-84879365777","Scopus"
"63","10.1016/j.foreco.2012.09.007","03781127",NA,NA,"2-s2.0-84872681606","Scopus"
"64","10.3390/w5041760","20734441",NA,NA,"2-s2.0-84888777190","Scopus"
"65","10.1016/j.jfoodeng.2014.06.021","02608774",NA,NA,"2-s2.0-84915818423","Scopus"
"66","10.1016/j.ecolind.2014.11.029","1470160X",NA,NA,"2-s2.0-84920282225","Scopus"
"67","10.1016/j.ecolind.2014.09.004","1470160X",NA,NA,"2-s2.0-84907558400","Scopus"
"68","10.1016/j.ecolind.2014.11.007","1470160X",NA,NA,"2-s2.0-84913585654","Scopus"
"69","10.1007/s10811-013-0012-9","09218971",NA,NA,"2-s2.0-84887434802","Scopus"
"70","10.1007/s00374-012-0719-9","01782762",NA,NA,"2-s2.0-84875209033","Scopus"
"71","10.1016/j.ecolind.2012.08.006","1470160X",NA,NA,"2-s2.0-84865608480","Scopus"
"72","10.1016/j.foreco.2014.07.032","03781127",NA,NA,"2-s2.0-84906775920","Scopus"
"73","10.1016/j.biombioe.2015.03.030","09619534",NA,NA,"2-s2.0-84949198505","Scopus"
"74","10.1016/j.biosystemseng.2014.04.003","15375110",NA,NA,"2-s2.0-84899142249","Scopus"
"75","10.1007/s12155-014-9413-0","19391234",NA,NA,"2-s2.0-84899942829","Scopus"
"76","10.1016/j.ecolind.2014.07.039","1470160X",NA,NA,"2-s2.0-84910087119","Scopus"
"77","10.1016/j.biombioe.2013.06.003","09619534",NA,NA,"2-s2.0-84880150332","Scopus"
"78","10.1111/gcbb.12014","17571693",NA,NA,"2-s2.0-84876165174","Scopus"
