"","cluster","topic_rank_in_cluster","topic_in_cluster","title","abstract","doi","id","topic_probability_in_doc"
"1","cold_topic_cluster_no_1","rank_1","77","Identifying priority sites for the conservation of freshwater fish biodiversity in a Mediterranean basin with a high degree of threatened endemics","The Guadiana River basin's freshwater fish species richness, endemicity and threatened status (92% of native species are threatened) highlight the need for a large-scale study to identify priority areas for their conservation. One of the most common problems in conservation planning is the assessment of a site's relative value for the conservation of regional biodiversity. Here we used a two-tiered approach, which integrates an assessment of biodiversity loss and the evaluation of conservation value through site-specific measures. These measures based on the reference condition approach introduce the ability to make objective comparisons throughout the Guadiana River basin, thus avoiding a priori target areas. We identified a set of biodiversity priority areas of special conservation significance-which contain rare taxa as well as intact fish communities-because of their outstanding contribution to the basin's biodiversity. The inclusion of complete sub-basins in these priority areas might guarantee an optimal solution in terms of spatial aggregation and connectivity. However, the high spatial fragmentation to which the Guadiana River basin is submitted due to river regulation highlights the necessity of a systematic approach to evaluate the capability of the identified priority areas to maintain the Guadiana's freshwater fish biodiversity.","10.1007/s10750-008-9653-0","84135","0.2573034"
"2","cold_topic_cluster_no_1","rank_1","77","Operationalizing ecological connectivity in spatial conservation planning with Marxan Connect","Globally, protected areas are being established to protect biodiversity and to promote ecosystem resilience. The typical spatial conservation planning process leading to the creation of these protected areas focuses on representation and replication of ecological features, often using decision support tools such as Marxan. Yet, despite the important role ecological connectivity has in metapopulation persistence and resilience, Marxan currently requires manual input or specialized scripts to explicitly consider connectivity. 'Marxan Connect' is a new open source, open access Graphical User Interface (GUI) tool designed to assist conservation planners with the appropriate use of data on ecological connectivity in protected area network planning. Marxan Connect can facilitate the use of estimates of demographic connectivity (e.g. derived from animal tracking data, dispersal models, or genetic tools) or structural landscape connectivity (e.g. isolation by resistance). This is accomplished by calculating metapopulation-relevant connectivity metrics (e.g. eigenvector centrality) and treating those as conservation features or by including the connectivity data as a spatial dependency amongst sites in the prioritization process. Marxan Connect allows a wide group of users to incorporate directional ecological connectivity into conservation planning with Marxan. The solutions provided by Marxan Connect, combined with ecologically relevant post-hoc testing, are more likely to support persistent and resilient metapopulations (e.g. fish stocks) and provide better protection for biodiversity.","10.1111/2041-210X.13349","14685","0.2610619"
"3","cold_topic_cluster_no_1","rank_1","77","Assessing protected area overlaps and performance to attain China's new national park system","Overlapping protected area (PA) designations are a global widespread phenomenon and have seriously deteriorated the performance of China's PA system. However, a comprehensive investigation on the extents of both overlapping designations and conservation complementation among different PA categories is still lacking in China. Here, we used the case of Yunnan, southwest China, to quantitatively assess the spatial and institutional overlaps among six primary PA categories. We then investigated the conservation complementation among the different PA categories by measuring their contributions to improving the ecological representation, coverage of areas of conservation importance, and connectivity of the entire PA network. Overlaps existed within most pairs of PA categories; approximately 10% of the total PA area was designated as multiple categories and simultaneously managed by more than one institution. Different PA categories could complement each other in terms of protection coverage, ecological representation and connectivity. The sustainable use PAs effectively complemented the strict PAs by doubling the total PA coverage, increasing the ecological representation, raising the overall connectivity index from 1.44% to 4.03% and taking similar to 50% of the total area of key connecting PAs. Conflicting management regimes in combination with expanded PA objectives are the major drivers of the overlapping PA designations. By explicitly measuring the extents of overlapping and complementation among different PA categories, our analysis helps to efficiently assess the existing PM and integrate them into China's new national park system. This study provides insights into empirical generalities about overlapping designations and conservation complementation among multiple PA categories.","10.1016/j.biocon.2019.108382","17782","0.2686441"
"4","cold_topic_cluster_no_1","rank_1","77","Biologically representative and well-connected marine reserves enhance biodiversity persistence in conservation planning","Current methods in conservation planning for promoting the persistence of biodiversity typically focus on either representing species geographic distributions or maintaining connectivity between reserves, but rarely both, and take a focal species, rather than a multispecies, approach. Here, we link prioritization methods with population models to explore the impact of integrating both representation and connectivity into conservation planning for species persistence. Using data on 288 Mediterranean fish species with varying conservation requirements, we show that: (1) considering both representation and connectivity objectives provides the best strategy for enhanced biodiversity persistence and (2) connectivity objectives were fundamental to enhancing persistence of small-ranged species, which are most in need of conservation, while the representation objective benefited only wide-ranging species. Our approach provides a more comprehensive appraisal of planning applications than approaches focusing on either representation or connectivity, and will hopefully contribute to build more effective reserve networks for the persistence of biodiversity.","10.1111/conl.12439","36612","0.2924242"
"5","cold_topic_cluster_no_1","rank_1","77","Mapping conservation priorities and connectivity pathways under climate change for tropical ecosystems","Climate change and land use conversion are global threats to biodiversity. Protected areas and biological corridors have been historically implemented as biodiversity conservation measures and suggested as tools within planning frameworks to respond to climate change. However, few applications to national protected areas systems considering climate change in tropical countries exist. Our goal is to define new priority areas for biodiversity conservation and biological corridors within an existing protected areas network. We aim at preserving samples of all biodiversity under climate change and facilitate species dispersal to reduce the vulnerability of biodiversity. The analysis was based on a three step strategy: i) protect representative samples of various levels of terrestrial biodiversity across protected area systems given future redistributions under climate change, ii) identify and protect areas with reduced climate velocities where populations could persist for relatively longer periods, and iii) ensure species dispersal between conservation areas through climatic connectivity pathways. The study was integrated into a participatory planning approach for biodiversity conservation in Costa Rica. Results showed that there should be an increase of 11 % and 5 % on new conservation areas and biological corridors respectively. Our approach integrates climate change into the design of a network of protected areas for tropical ecosystems and can be applied to other biodiversity rich areas to reduce the vulnerability of biodiversity to global warming.","10.1007/s10584-016-1789-8","48049","0.3362637"
"6","cold_topic_cluster_no_1","rank_2","450","Functional responses in habitat selection by tropical birds moving through fragmented forest","1. The ability of animals to move through a landscape is a fundamental determinant of population persistence in fragmented habitats. This movement can be affected by both the composition and configuration of the remaining habitat. To date, few studies have examined the habitat selection of animals moving in novel landscapes or addressed whether animals exhibit a functional response in selection as available habitat changes. 2. To assess habitat selection during movement, we translocated 60 individuals of two species of birds with differing forest dependency in three configuration treatments in a highly fragmented, tropical dry forest landscape: along a forested riparian corridor, along a fencerow (row of live trees) or across pasture. We closely followed the return routes of translocated birds to determine their choice of habitat and proximity to the forest edge. We then tested whether habitat composition or configuration (treatment) best explained individual variation in habitat selection. 3. Both species preferred habitat closer to the forest edge, but this preference was weaker in the forest specialist, the barred antshrike Thamnophilus doliatus. This species selected routes in forest habitat, which included riparian corridors, over fencerow and stepping stone habitat, which were all preferred over pasture habitat. 4. By contrast, the forest generalist, the rufous-naped wren Campylorhynchus rufinucha preferred forest equally to fencerow and stepping stone habitat over pasture habitat. For it, fencerows were selected more strongly than stepping stones. 5. Analysis of the individual variation in selection for forest habitat revealed that both species exhibited a functional response to habitat configuration, selecting forest more strongly in riparian corridor treatments where it was also more abundant. The forest specialist also reduced its preference for edge habitat in riparian corridor treatments. 6.Synthesis and applications. The unprecedented precision of our route information demonstrates the extent to which our forest specialist preferred to travel in forest relative to fencerow and stepping stone habitat. Functional responses to habitat configuration indicated that both species make more use of other habitats when forested corridors are not present. Stepping stones in particular may be important features to the conservation of forest birds in highly fragmented habitats.","10.1111/j.1365-2664.2009.01756.x","82754","0.2379310"
"7","cold_topic_cluster_no_1","rank_2","450","Fruit feeding Cetoniinae community structure in an anthropogenic landscape in West Africa","The potential contribution of palm plantations to the conservation of forest-dwelling Cetoniinae (Coleoptera, Scarabaeidae) is assessed in southern Benin. Sample plots of 10 aerial traps per habitat type were set in two sites containing a forest patch, a palm plantation and some agricultural land. Overall, 2,217 individuals belonging to 31 species were collected. Typical species of each habitat were identified with the IndVal method (Dufrne and Legendre 1997). Species were categorized into three habitat-groups: forest specialists (11 species), farmland and open habitat specialists (9 species) and ubiquitous, generalist species found in all habitats (5 species). Only six species were too rare for assessing habitat preference. Palm plantations host a low density of Cetoniinae with no unique species. However, species composition reveals that they are used by forest specialist species that avoid open habitats like farmlands, therefore providing structural connectivity. Cetoniine flower beetles have potential as an indicator group, which can be used in multi-taxa approaches for habitat assessments in Africa. Using species-level metrics, their response to habitat change is clear, including the response of common species. This method is selective, cost-effective in time and materials, and species identification is rather straightforward.","10.1007/s10841-012-9483-2","75320","0.2520833"
"8","cold_topic_cluster_no_1","rank_2","450","Connectivity change in habitat networks","Habitat management is essential for safeguarding important flora and fauna. Further, habitat connectivity is a crucial component for maintaining biodiversity given that it is known to have implications for species persistence. However, damage to habitat due to natural and human induced hazards can alter spatial relationships between habitats, potentially impacting biodiversity. Therefore, the susceptibility of spatial relationships to patch loss and associated connectivity degradation is obviously an important factor in maintaining existing or planned habitat networks. Identifying patches vital to connectivity is critical both for effectively prioritizing protection (e.g., enhancing habitat connectivity) and establishing disaster mitigation measures (e.g., stemming the spread of habitat loss). This paper presents a methodology for characterizing connectivity associated with habitat networks. Methods for evaluating habitat network connectivity change are formalized. Examples are presented to facilitate analysis of connectivity in the management of biodiversity.","10.1007/s10980-008-9282-z","84759","0.2550725"
"9","cold_topic_cluster_no_1","rank_2","450","The diverse effects of habitat fragmentation on plant-pollinator interactions","Habitat fragmentation affects a wide variety of biological variables including species' abundance and richness (population demography), phenology, male and female reproductive fitness, and it also affects the degree of specialization versus generalization of pollination networks. Evidence is accumulating that suggests that habitat fragmentation can have significant impacts on plant-pollinator interactions. In this article, we review the literature on habitat fragmentation effects on plants, pollinators, and the pollination network. We also discuss pollination network mechanisms that may be affected by habitat fragmentation. Habitat fragmentation isolates populations and affects ecological properties at both population and community levels. Evidence shows that habitat size and connectivity directly or indirectly influence the abundance of both plant and pollinator species. In general, plant and pollinator diversity and population size decrease with the decreasing size and habitat connectivity. Habitat fragmentation of plant communities can shift plant phenological patterns, contract flowering periods and increase the risk of local pollinator extirpation. Fragmentation has the potential to influence pollination dynamics by altering pollinator or plant densities and by altering pollinator behavior. However, evidence for the impact of habitat fragmentation on plant species' flowering phenology is relatively limited, and little is known about the effect of habitat fragmentation on the phenology of pollinators. Habitat fragmentation also leads to reduced reproduction in many species. In contrast, other species showed neutral or positive responses to habitat fragmentation in female reproductive fitness, especially in plants regularly affected by pollen limitation and pollination limitation which lead to plants' experience selection for increased autogamy in isolated habitats. Habitat fragmentation often leads to the extirpation of specialist species and results in an influx of generalists. However, studies have shown that pollinators tend to be more generalized as habitat fragmentation increases. The reason is that habitat fragmentation changes the composition of the flora, and scatters floral resources, so any remaining pollinators may need to behave as generalists in order to survive. However, the knowledge of potential ecological consequences of habitat fragmentation is limited, especially regarding the effects on a long-term scale and at landscape scales. We propose experiments involving long-term monitoring, permanent samples of flowering plants, pollinators, and their interactions at large spatial and temporal scales.","10.1007/s11258-016-0608-7","58500","0.2615819"
"10","cold_topic_cluster_no_1","rank_2","450","Prioritising sites for pollinators in a fragmented coastal nectar habitat network in Western Europe","Context Habitat loss and fragmentation contribute significantly to pollinator decline and biodiversity loss globally. Conserving high quality habitats whilst restoring and connecting remnant habitat is critical to halt such declines. Objectives We quantified the connectivity of pollinator habitats for a generic focal species (GFS) which represented three groups of pollinators in an existing coastal nectar habitat network. Subsequently, in partnership with a conservation agency, we modelled an improved landscape that identified priority habitat patches to increase connectivity for pollinators. Methods We selected 4260 pollinator habitats along an 80 km section of coastland in Scotland using Phase 1 habitat data. A GFS represented three vulnerable European pollinator groups while graph theory and spatial metrics were used to identify optimal sites that could enhance habitat connectivity. Results Higher dispersing species experienced greater habitat connectivity in the improved landscape and habitat availability increased substantially in response to small increases in habitat. The improved landscape revealed important habitat patches in the existing landscape that should be protected and developed. Conclusions Our findings highlight that optimal landscapes can be designed through the integration of habitat data with spatial metrics for a GFS. By adopting this novel approach, conservation strategies can be targeted in an efficient manner to conserve at-risk species and their associated habitats. Integrating these design principles with policy and practice could enhance biodiversity across Europe.","10.1007/s10980-019-00884-x","19548","0.3052174"
